id,override,title,description,link
29963,pt_XX,Match KIT Collection - Colombia,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29963-match-kit-collection-colombia
29966,pt_XX,Match KIT Collection - França,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29966-match-kit-collection-franca
29967,pt_XX,Match KIT Collection - Inglaterra,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29967-match-kit-collection-inglaterra
29968,pt_XX,Match KIT Collection - Japão,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29968-match-kit-collection-japao
29969,pt_XX,Match KIT Collection - Holanda,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29969-match-kit-collection-holanda
29971,pt_XX,Match KIT Collection - Bélgica,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29971-match-kit-collection-belgica
29972,pt_XX,Match KIT Collection - México,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29972-match-kit-collection-mexico
29973,pt_XX,Match KIT Collection - USA,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29973-match-kit-collection-usa
29974,pt_XX,Match KIT Collection - Canada,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29974-match-kit-collection-canada
29975,pt_XX,Match KIT Collection - Panamá,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",https://n1gloves.com/pt/inicio/29975-match-kit-collection-panama
