id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
28995,N1 Grip Socks - Red,"Meias técnicas antiderrapantes com grip. 
 Mantêm o pé firme dentro da chuteira, evitando deslizamentos internos e melhorando a estabilidade em cada ação. 
 Ideais para jogadores que procuram maior controlo, precisão e segurança no jogo. 
  
 Composição: 40% Algodão/ 40% Nylon/ 10% Elastano/ 10% Poliéster Zonas de grip: 100% PVC. 
  TAMANHOS  
  Tamanho S  
 
 
 EU: 35–38 
 
 
 US: 3–6 
 
 
  Tamanho M  
 
 
 EU: 39–42 
 
 
 US: 7–9 
 
 
  Tamanho L  
 
 
 EU: 43–46 
 
 
 US: 10–12",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28995-n1-grip-socks-red,https://n1gloves.com/25193-large_default/n1-grip-socks-red.jpg,N1 Goalkeeper,,AC-GRIRED-0498,306
28997,N1 Grip Socks - Green,"Meias técnicas antiderrapantes com grip. 
 Mantêm o pé firme dentro da chuteira, evitando deslizamentos internos e melhorando a estabilidade em cada ação. 
 Ideais para jogadores que procuram maior controlo, precisão e segurança no jogo. 
  
 Composição: 40% Algodão/ 40% Nylon/ 10% Elastano/ 10% Poliéster Zonas de grip: 100% PVC. 
  TAMANHOS  
  Tamanho S  
 
 
 EU: 35–38 
 
 
 US: 3–6 
 
 
  Tamanho M  
 
 
 EU: 39–42 
 
 
 US: 7–9 
 
 
  Tamanho L  
 
 
 EU: 43–46 
 
 
 US: 10–12",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28997-n1-grip-socks-green,https://n1gloves.com/25200-large_default/n1-grip-socks-green.jpg,N1 Goalkeeper,,AC-GRIGRE-0499,297
28998,N1 Grip Socks - Orange,"Meias técnicas antiderrapantes com grip. 
 Mantêm o pé firme dentro da chuteira, evitando deslizamentos internos e melhorando a estabilidade em cada ação. 
 Ideais para jogadores que procuram maior controlo, precisão e segurança no jogo. 
  
 Composição: 40% Algodão/ 40% Nylon/ 10% Elastano/ 10% Poliéster Zonas de grip: 100% PVC. 
  TAMANHOS  
  Tamanho S  
 
 
 EU: 35–38 
 
 
 US: 3–6 
 
 
  Tamanho M  
 
 
 EU: 39–42 
 
 
 US: 7–9 
 
 
  Tamanho L  
 
 
 EU: 43–46 
 
 
 US: 10–12",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28998-n1-grip-socks-orange,https://n1gloves.com/25207-large_default/n1-grip-socks-orange.jpg,N1 Goalkeeper,,AC-GRIORA-0500,301
28999,N1 Grip Socks - Blue,"Meias técnicas antiderrapantes com grip. 
 Mantêm o pé firme dentro da chuteira, evitando deslizamentos internos e melhorando a estabilidade em cada ação. 
 Ideais para jogadores que procuram maior controlo, precisão e segurança no jogo. 
  
 Composição: 40% Algodão/ 40% Nylon/ 10% Elastano/ 10% Poliéster Zonas de grip: 100% PVC. 
  TAMANHOS  
  Tamanho S  
 
 
 EU: 35–38 
 
 
 US: 3–6 
 
 
  Tamanho M  
 
 
 EU: 39–42 
 
 
 US: 7–9 
 
 
  Tamanho L  
 
 
 EU: 43–46 
 
 
 US: 10–12",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28999-n1-grip-socks-blue,https://n1gloves.com/25212-large_default/n1-grip-socks-blue.jpg,N1 Goalkeeper,,AC-GRIBLU-0501,301
29945,Match KIT Collection - Espanha V1,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/pt/inicio/29945-match-kit-collection-espanha-v1,https://n1gloves.com/26493-large_default/match-kit-collection-espanha-v1.jpg,N1 Goalkeeper,,CL-FOOWC2-1102,4
29958,Match KIT Collection - Espanha V2,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",out of stock,new,29.90 EUR,,https://n1gloves.com/pt/inicio/29958-match-kit-collection-espanha-v2,https://n1gloves.com/26433-large_default/match-kit-collection-espanha-v2.jpg,N1 Goalkeeper,,CL-FOOWC2-1117,0
29959,Match KIT Collection - Portugal,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/pt/inicio/29959-match-kit-collection-portugal,https://n1gloves.com/26515-large_default/match-kit-collection-portugal.jpg,N1 Goalkeeper,,CL-FOOWC2-1113,12
29961,Match KIT Collection - Alemanha,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/pt/inicio/29961-match-kit-collection-alemanha,https://n1gloves.com/26489-large_default/match-kit-collection-alemanha.jpg,N1 Goalkeeper,,CL-FOOWC2-1114,11
29962,Match KIT Collection - Brasil V1,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/pt/inicio/29962-match-kit-collection-brasil-v1,https://n1gloves.com/26468-large_default/match-kit-collection-brasil-v1.jpg,N1 Goalkeeper,,CL-FOOWC2-1103,12
29963,Match KIT Collection - Colombia,"Kit oficial ZEUS 2.0 – Gloves of Nations composto por camisola + calção a combinar. 
 Coleção exclusiva e edição limitada inspirada nas grandes nações do futebol mundial e na atmosfera do futebol internacional em 2026. 
 Desenhado para jogadores e guarda-redes que querem representar as suas cores com identidade, rendimento e estilo dentro e fora de campo. 
  
 EDIÇÃO LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/pt/inicio/29963-match-kit-collection-colombia,https://n1gloves.com/26419-large_default/match-kit-collection-colombia.jpg,N1 Goalkeeper,,CL-FOOWC2-1118,10
